"","sector","aislacion","calefactor","humedad","consumo","velocidad","temperatura"
"33470","sector3","NO",3.99023002944887,13.546737459835,19.3032299216602,20.2079023202253,1.16331702396341
"32738","sector3","NO",32.4351540191059,14.3500102831734,14.827048770199,31.5493699824314,2.03333162266262
"2044","sector1","SI",35.7908450859951,10.2392188445335,34.2809622275861,35.4326298168902,3.55791014768604
"7817","sector3","NO",14.0873909396487,12.1629419945445,12.6785509002886,30.2597850742391,2.64832266777829
"16517","sector2","NO",6.94144357885134,14.1841415468211,18.6585796295324,28.5098133653334,-1.77757215090698
"9506","sector1","NO",2.93469609692693,17.9689003044781,20.8035410521954,26.5929722991502,1.34981984003971
"129","sector3","NO",16.4361751257422,15.017282141879,13.7503347255656,25.7434454346899,2.7712897306517
"12260","sector2","NO",0.687277652323246,11.779060097686,15.9286039609649,26.2642332138083,-3.04665388941072
"8519","sector3","SI",1.62355123553425,10.7330387536873,38.4414671405899,42.7090016456322,2.77261018492373
"15409","sector2","SI",15.4143273712192,10.1837190446571,33.0034449735795,26.7699195349597,-1.05085020070805
"24986","sector3","NO",1.90691796597093,14.0478628091817,13.5861958920451,28.7615977829383,1.41855803737324
"32189","sector3","NO",3.55055877828536,10.6349474169774,14.53029929108,22.7763910100648,2.88551577505951
"16235","sector2","NO",1.05850651711551,18.3515127760531,20.8479876791712,25.2333151633716,-2.5190957265924
"12572","sector2","NO",9.697315458199,12.6767233874998,12.3897319008593,31.2911085569357,-1.43423325782133
"29837","sector2","NO",2.90306303921551,12.6511355905332,16.9992242878844,29.2484357933218,-1.77929840205329
"23010","sector1","NO",2.8339799772948,15.3674843031998,19.0616883353325,31.317440189039,2.33559439445307
"26507","sector1","SI",15.9741649209502,13.5497667888729,39.766581188704,23.6834774210731,1.11645132070743
"31225","sector2","NO",15.2306917115095,16.1554349651152,17.6974084680071,33.8971942032608,-0.701540634364824
"31923","sector3","NO",1.86084116192139,14.2097185406389,12.9279733104897,35.7360415337749,3.38112285354998
"4845","sector1","NO",5.74768690392375,13.889763371481,16.5916914909609,23.5511433823846,0.541218619973361
"12051","sector3","SI",8.00299693305262,14.306726710331,41.8138773413777,25.7983805623792,1.832106349811
"10066","sector3","NO",3.43298498075455,16.1637568818503,17.9196082798003,21.5760967864025,1.64588935246024
"15056","sector3","NO",5.63334348145872,15.8758017947144,19.8012778070359,26.160919217247,1.55956228594855
"14752","sector3","SI",8.68355942542878,14.6285722456683,50.0299022016413,22.0697955131907,0.066381377860296
"3705","sector2","SI",1.76220301073045,10.5880123620433,38.0563976071155,23.1730247869126,-4.10129572578476
"4901","sector2","NO",5.22515867371112,10.7032676193013,12.3137517115303,24.338182798241,0.142342019409409
"33663","sector2","NO",0.718758329749107,15.6211881617171,20.2752241732397,22.603501736459,-1.5865909954672
"7756","sector3","NO",1.95085532326258,13.134810286382,18.0953526970809,25.3165598873242,0.393374599169055
"15697","sector3","SI",24.7337440947506,16.95175919015,50.2329579387587,37.0247529581232,1.7712414363941
